,radius,halo_vc,dark_vc,total_vc
81,9.759036144578314,157.6796921601964,196.81155146459355,252.1857888732723
82,9.879518072289157,157.5380889839639,197.44936599907604,252.59552967967664
83,10.0,157.38909177235078,198.07621865461317,252.9931117746797
84,10.120481927710843,157.23261800203517,198.69227085703577,253.37859945563594
85,10.240963855421686,157.06860581890376,199.29768332534053,253.75207095261683
86,10.36144578313253,156.8970123500793,199.89261596752067,254.11361711391942
87,10.481927710843374,156.71781212921238,200.47722778331007,254.46334018527756
88,10.602409638554217,156.53099562820512,201.05167677369494,254.801352676691
89,10.72289156626506,156.33656788885523,201.61611985701066,255.12777631113224
90,10.843373493975903,156.13454724822793,202.17071279141172,255.44274104972448
91,10.963855421686747,155.92496415188427,202.71561010348267,255.74638418830793
92,11.08433734939759,155.70786004940553,203.25096502274317,256.03884952061793
